trip_id,date,time,transport_type,route_id,origin_station,destination_station,scheduled_departure,scheduled_arrival,actual_departure_delay_min,actual_arrival_delay_min,weather_condition,temperature_C,humidity_percent,wind_speed_kmh,precipitation_mm,event_type,event_attendance_est,traffic_congestion_index,holiday,peak_hour,weekday,season,delayed,passenger_count,capacity_percentage,trip_status
T00019,2023-01-01,09:45:00,Tram,Route_17,Station_11,Station_4,09:48:00,10:05:00,10,17,Clear,-3.7,93,28,3.0,Festival,0,57,0,0,6,Winter,1,57,84,Completed
T00020,2023-01-01,10:00:00,Train,Route_7,Station_1,Station_4,10:00:00,10:34:00,9,12,Clear,-3.2,57,7,14.0,Concert,0,19,0,0,6,Winter,1,6,88,Completed
T00021,2023-01-01,10:15:00,Bus,Route_14,Station_43,Station_17,10:18:00,10:38:00,16,15,Clear,8.8,65,10,7.3,,0,15,0,0,6,Autumn,1,28,81,Completed
T00022,2023-01-01,10:30:00,Train,Route_15,Station_19,Station_41,10:31:00,11:09:00,11,25,Cloudy,-1.5,35,46,9.0,,0,91,0,0,6,Summer,1,48,92,Completed
T00023,2023-01-01,10:45:00,Metro,Route_7,Station_9,Station_19,10:48:00,11:14:00,4,14,Snow,14.2,40,44,3.1,Festival,500,55,0,1,6,Winter,1,34,96,Completed
T00024,2023-01-01,11:00:00,Metro,Route_9,Station_27,Station_5,11:04:00,11:42:00,10,12,Snow,24.1,67,17,13.6,Festival,0,92,0,0,6,Winter,1,42,36,Completed
T00025,2023-01-01,11:15:00,Train,Route_19,Station_34,Station_32,11:17:00,12:08:00,3,-3,Cloudy,17.7,63,49,15.0,,0,49,0,0,6,Winter,0,6,49,Completed
T00026,2023-01-01,11:30:00,Train,Route_16,Station_44,Station_22,11:30:00,12:22:00,16,-2,Clear,2.9,96,24,3.6,,0,89,1,0,6,Spring,0,25,105,Completed
T00027,2023-01-01,11:45:00,Train,Route_8,Station_4,Station_6,11:49:00,12:38:00,16,11,Storm,21.2,75,48,0.9,,10000,65,0,0,6,Winter,1,37,35,Completed
T00028,2023-01-01,12:00:00,Metro,Route_18,Station_36,Station_35,12:04:00,12:58:00,1,24,Fog,22.4,58,21,1.6,,50000,73,0,0,6,Spring,1,16,36,Completed
T00029,2023-01-01,12:15:00,Metro,Route_18,Station_18,Station_22,12:16:00,12:44:00,16,-3,Snow,32.3,89,44,13.1,Sports,0,12,0,1,6,Spring,0,26,71,Completed
T00030,2023-01-01,12:30:00,Bus,Route_20,Station_15,Station_1,12:32:00,13:09:00,6,1,Rain,0.9,83,34,2.7,,0,14,0,0,6,Autumn,0,48,92,Completed
T00031,2023-01-01,12:45:00,Bus,Route_7,Station_13,Station_20,12:47:00,13:05:00,13,18,Fog,22.7,98,28,9.9,Sports,0,72,0,1,6,Winter,1,29,59,Completed
T00032,2023-01-01,13:00:00,Metro,Route_3,Station_19,Station_22,13:00:00,13:32:00,1,9,Rain,31.5,38,20,3.1,Concert,0,26,0,0,6,Autumn,1,53,51,Completed
T00033,2023-01-01,13:15:00,Train,Route_18,Station_49,Station_48,13:16:00,13:35:00,3,-3,Rain,15.1,39,55,3.4,Sports,2000,7,0,1,6,Winter,0,31,38,Completed
T00034,2023-01-01,13:30:00,Train,Route_10,Station_6,Station_11,13:30:00,13:54:00,5,12,Clear,9.5,97,6,0.1,Festival,0,69,0,0,6,Summer,1,46,48,Completed
T00035,2023-01-01,13:45:00,Bus,Route_7,Station_48,Station_13,13:48:00,14:20:00,13,18,Rain,1.8,87,11,6.4,,0,99,0,0,6,Winter,1,32,69,Completed
T00036,2023-01-01,14:00:00,Metro,Route_17,Station_12,Station_42,14:04:00,14:34:00,2,28,Clear,29.7,81,35,1.8,,0,49,0,1,6,Winter,1,20,50,Completed
T00037,2023-01-01,14:15:00,Bus,Route_14,Station_37,Station_3,14:15:00,15:02:00,18,12,Cloudy,10.8,63,23,7.9,Concert,50000,87,0,0,6,Winter,1,19,42,Completed
T00038,2023-01-01,14:30:00,Bus,Route_3,Station_17,Station_9,14:34:00,15:20:00,19,11,Storm,32.0,64,31,12.0,Protest,10000,66,0,0,6,Winter,1,51,92,Completed
T00039,2023-01-01,14:45:00,Tram,Route_12,Station_23,Station_12,14:46:00,15:27:00,7,8,Rain,28.9,62,26,7.4,,2000,25,0,1,6,Winter,1,55,92,Completed
T00040,2023-01-01,15:00:00,Tram,Route_13,Station_26,Station_23,15:03:00,15:36:00,10,-3,Storm,10.1,61,31,14.1,Protest,0,35,0,0,6,Winter,0,48,106,Completed
T00041,2023-01-01,15:15:00,Tram,Route_2,Station_29,Station_14,15:16:00,16:08:00,11,13,Clear,18.0,84,58,14.8,,0,20,0,0,6,Autumn,1,59,25,Completed
T00042,2023-01-01,15:30:00,Train,Route_3,Station_33,Station_33,15:33:00,16:02:00,4,24,Rain,-3.9,37,31,13.9,,10000,76,0,1,6,Summer,1,56,32,Completed
T00043,2023-01-01,15:45:00,Metro,Route_5,Station_27,Station_18,15:48:00,16:18:00,17,3,Fog,5.5,75,31,18.7,,0,51,0,1,6,Autumn,0,7,16,Completed
T00044,2023-01-01,16:00:00,Metro,Route_11,Station_25,Station_49,16:04:00,16:30:00,3,5,Cloudy,23.4,43,25,4.7,Parade,500,10,0,1,6,Summer,0,41,35,Completed
T00045,2023-01-01,16:15:00,Metro,Route_8,Station_10,Station_41,16:16:00,17:02:00,4,18,Snow,22.1,37,10,3.8,,0,7,0,0,6,Autumn,1,55,105,Completed
T00046,2023-01-01,16:30:00,Metro,Route_12,Station_47,Station_9,16:31:00,17:21:00,2,22,Cloudy,9.1,83,45,12.2,,0,56,0,0,6,Autumn,1,11,21,Completed
T00047,2023-01-01,16:45:00,Tram,Route_7,Station_23,Station_23,16:45:00,17:39:00,18,8,Rain,27.3,50,17,11.9,Parade,0,45,0,1,6,Winter,1,25,81,Completed
T00048,2023-01-01,17:00:00,Train,Route_15,Station_21,Station_10,17:01:00,17:50:00,15,3,Cloudy,4.4,43,38,10.2,Sports,10000,77,0,0,6,Autumn,0,13,14,Completed
T00049,2023-01-01,17:15:00,Train,Route_17,Station_21,Station_19,17:15:00,17:51:00,9,11,Snow,13.5,31,4,0.1,Protest,0,96,0,1,6,Summer,1,43,101,Completed
T00050,2023-01-01,17:30:00,Tram,Route_4,Station_43,Station_47,17:32:00,17:58:00,3,17,Fog,13.9,90,15,11.1,,2000,1,0,0,6,Spring,1,22,78,Completed
T00051,2023-01-01,17:45:00,Train,Route_13,Station_13,Station_5,17:47:00,18:14:00,-2,10,Storm,8.6,46,10,18.7,,10000,63,0,0,6,Summer,1,8,58,Completed
T00052,2023-01-01,18:00:00,Tram,Route_18,Station_37,Station_47,18:02:00,18:27:00,1,-2,Fog,33.2,77,53,6.7,,50000,51,0,0,6,Autumn,0,29,35,Completed
T00053,2023-01-01,18:15:00,Metro,Route_1,Station_33,Station_23,18:16:00,18:55:00,16,4,Cloudy,22.9,37,34,19.4,Sports,0,64,0,1,6,Spring,0,18,14,Completed
T00054,2023-01-01,18:30:00,Tram,Route_16,Station_24,Station_30,18:31:00,19:02:00,9,2,Snow,16.6,85,47,7.1,Concert,0,10,0,0,6,Winter,0,54,31,Completed
T00055,2023-01-01,18:45:00,Metro,Route_13,Station_44,Station_25,18:45:00,19:09:00,12,29,Storm,15.4,46,10,2.8,Concert,50000,5,0,1,6,Spring,1,13,88,Completed
T00056,2023-01-01,19:00:00,Metro,Route_10,Station_11,Station_28,19:03:00,19:25:00,0,2,Snow,1.4,98,41,8.0,Sports,0,95,0,1,6,Winter,0,30,22,Completed
T00057,2023-01-01,19:15:00,Bus,Route_12,Station_17,Station_34,19:15:00,20:04:00,17,22,Fog,9.9,41,22,9.9,,0,78,0,1,6,Summer,1,57,37,Completed
T00058,2023-01-01,19:30:00,Tram,Route_2,Station_4,Station_45,19:32:00,20:20:00,5,10,Clear,21.9,67,54,12.6,Concert,0,75,0,1,6,Spring,1,6,42,Completed
T00059,2023-01-01,19:45:00,Bus,Route_3,Station_47,Station_48,19:45:00,20:21:00,8,4,Clear,32.0,47,33,10.1,,0,63,0,1,6,Spring,0,24,32,Completed
T00060,2023-01-01,20:00:00,Tram,Route_10,Station_25,Station_47,20:03:00,20:30:00,13,9,Storm,27.7,55,47,10.7,,0,92,0,1,6,Spring,1,32,106,Completed
T00061,2023-01-01,20:15:00,Tram,Route_2,Station_30,Station_25,20:16:00,20:54:00,6,9,Storm,7.0,66,16,0.5,,500,54,0,0,6,Winter,1,51,27,Completed
T00062,2023-01-01,20:30:00,Bus,Route_13,Station_9,Station_10,20:30:00,20:58:00,0,24,Storm,12.4,99,9,5.1,Sports,500,43,0,0,6,Winter,1,11,39,Completed
T00063,2023-01-01,20:45:00,Bus,Route_13,Station_21,Station_14,20:47:00,21:06:00,2,14,Clear,-1.7,70,17,6.2,Festival,0,85,0,0,6,Summer,1,48,35,Completed
T00064,2023-01-01,21:00:00,Tram,Route_18,Station_20,Station_42,21:02:00,21:56:00,17,15,Fog,-0.9,71,43,19.7,,10000,13,1,0,6,Summer,1,12,25,Completed
T00065,2023-01-01,21:15:00,Train,Route_3,Station_19,Station_46,21:16:00,21:35:00,11,28,Storm,13.8,70,7,5.9,,0,82,0,0,6,Autumn,1,51,86,Completed
T00066,2023-01-01,21:30:00,Metro,Route_7,Station_19,Station_30,21:30:00,21:53:00,12,18,Clear,16.2,76,58,17.9,,0,4,0,0,6,Winter,1,39,48,Completed
T00067,2023-01-01,21:45:00,Bus,Route_14,Station_12,Station_41,21:48:00,22:40:00,3,-2,Storm,5.6,43,25,6.1,Festival,50000,98,0,1,6,Summer,0,18,42,Completed
T00068,2023-01-01,22:00:00,Metro,Route_20,Station_37,Station_25,22:01:00,22:44:00,1,9,Storm,20.7,30,2,1.9,Concert,0,24,0,0,6,Spring,1,21,35,Completed
T00069,2023-01-01,22:15:00,Train,Route_17,Station_42,Station_14,22:15:00,22:37:00,5,19,Snow,23.1,46,58,5.0,Parade,2000,49,0,0,6,Spring,1,40,57,Completed
T00070,2023-01-01,22:30:00,Train,Route_12,Station_17,Station_35,22:34:00,22:58:00,16,21,Storm,7.0,84,51,5.5,Festival,0,72,0,1,6,Spring,1,54,74,Completed
T00071,2023-01-01,22:45:00,Train,Route_16,Station_37,Station_48,22:47:00,23:26:00,2,24,Clear,25.3,82,23,19.6,,2000,70,0,0,6,Summer,1,44,47,Completed
T00072,2023-01-01,23:00:00,Bus,Route_12,Station_48,Station_34,23:03:00,23:42:00,10,7,Fog,3.2,60,2,13.5,,0,81,0,0,6,Spring,1,8,11,Completed
T00073,2023-01-01,23:15:00,Train,Route_15,Station_39,Station_10,23:18:00,23:46:00,13,29,Clear,16.8,91,37,18.6,,0,1,0,1,6,Spring,1,6,15,Completed
T00074,2023-01-01,23:30:00,Bus,Route_10,Station_28,Station_35,23:33:00,23:59:00,-2,20,Clear,27.2,37,1,16.7,,0,9,0,0,6,Winter,1,10,55,Completed
T00075,2023-01-01,23:45:00,Train,Route_7,Station_41,Station_11,23:47:00,00:38:00,10,-2,Storm,16.5,59,34,11.6,,0,1,0,0,6,Winter,0,58,59,Completed
T00076,2023-01-02,00:00:00,Metro,Route_20,Station_35,Station_11,00:00:00,00:29:00,19,26,Snow,31.3,95,16,13.5,,0,59,0,0,0,Summer,1,46,47,Completed
T00077,2023-01-02,00:15:00,Metro,Route_5,Station_47,Station_21,00:16:00,01:04:00,8,13,Rain,-2.7,74,8,12.5,Concert,10000,44,0,0,0,Winter,1,8,97,Completed
T00078,2023-01-02,00:30:00,Tram,Route_1,Station_48,Station_21,00:30:00,01:11:00,18,18,Rain,18.5,47,35,13.3,,0,7,0,1,0,Autumn,1,58,27,Completed
T00079,2023-01-02,00:45:00,Metro,Route_17,Station_18,Station_22,00:46:00,01:10:00,5,1,Rain,17.5,74,21,5.3,,10000,57,0,0,0,Summer,0,33,36,Completed
T00080,2023-01-02,01:00:00,Tram,Route_3,Station_14,Station_45,01:03:00,01:21:00,5,12,Clear,21.4,48,30,8.2,,0,6,0,1,0,Autumn,1,22,50,Completed
T00081,2023-01-02,01:15:00,Metro,Route_13,Station_35,Station_7,01:15:00,02:04:00,11,9,Storm,28.3,97,54,11.9,,0,98,0,0,0,Autumn,1,30,81,Completed
T00082,2023-01-02,01:30:00,Bus,Route_14,Station_44,Station_17,01:33:00,01:51:00,10,22,Rain,24.0,79,33,0.7,Sports,50000,86,0,0,0,Summer,1,48,101,Completed
T00083,2023-01-02,01:45:00,Metro,Route_18,Station_41,Station_2,01:49:00,02:36:00,0,27,Cloudy,26.6,54,23,9.7,Sports,50000,71,0,1,0,Winter,1,38,83,Completed
T00084,2023-01-02,02:00:00,Tram,Route_4,Station_7,Station_12,02:03:00,02:35:00,1,19,Cloudy,6.6,67,59,17.2,,0,20,1,1,0,Winter,1,14,26,Completed
T00085,2023-01-02,02:15:00,Tram,Route_18,Station_41,Station_42,02:18:00,02:46:00,17,8,Cloudy,10.5,65,8,9.8,Concert,10000,96,0,0,0,Summer,1,40,71,Completed
T00086,2023-01-02,02:30:00,Train,Route_5,Station_13,Station_18,02:31:00,02:50:00,12,10,Fog,20.1,97,45,11.0,,0,46,0,0,0,Autumn,1,18,38,Completed
T00087,2023-01-02,02:45:00,Bus,Route_16,Station_18,Station_11,02:49:00,03:12:00,12,14,Storm,17.1,85,57,4.0,,0,0,0,1,0,Summer,1,35,67,Completed
T00088,2023-01-02,03:00:00,Metro,Route_1,Station_37,Station_16,03:03:00,03:32:00,18,23,Clear,33.4,68,42,15.9,,0,11,0,0,0,Summer,1,52,79,Completed
T00089,2023-01-02,03:15:00,Train,Route_14,Station_13,Station_49,03:18:00,03:49:00,10,24,Clear,2.5,92,1,7.2,Parade,50000,74,0,0,0,Spring,1,19,87,Completed
T00090,2023-01-02,03:30:00,Metro,Route_15,Station_36,Station_18,03:34:00,03:57:00,6,14,Storm,9.1,36,20,19.1,,50000,47,1,1,0,Spring,1,12,31,Completed
T00091,2023-01-02,03:45:00,Metro,Route_9,Station_31,Station_35,03:49:00,04:14:00,7,12,Snow,17.9,87,33,19.9,,0,93,0,0,0,Autumn,1,18,15,Completed
T00092,2023-01-02,04:00:00,Train,Route_15,Station_2,Station_26,04:00:00,04:24:00,9,12,Snow,29.7,88,26,18.3,Protest,2000,3,0,0,0,Winter,1,27,35,Completed
T00093,2023-01-02,04:15:00,Train,Route_17,Station_16,Station_16,04:16:00,04:53:00,11,9,Fog,32.2,77,36,1.7,,10000,33,0,0,0,Spring,1,44,48,Completed
T00094,2023-01-02,04:30:00,Train,Route_4,Station_9,Station_6,04:34:00,05:27:00,-2,25,Storm,8.4,34,6,6.7,,0,86,0,1,0,Spring,1,25,21,Completed
T00095,2023-01-02,04:45:00,Train,Route_12,Station_9,Station_44,04:49:00,05:15:00,11,5,Snow,-2.3,65,21,18.9,Festival,500,31,0,0,0,Autumn,0,20,108,Completed
T00096,2023-01-02,05:00:00,Train,Route_5,Station_38,Station_43,05:02:00,05:39:00,11,22,Fog,11.9,54,3,16.1,,0,2,0,1,0,Summer,1,49,23,Completed
T00097,2023-01-02,05:15:00,Metro,Route_5,Station_11,Station_47,05:19:00,05:54:00,5,24,Rain,10.8,74,13,18.2,Concert,0,91,0,0,0,Spring,1,22,31,Completed
T00098,2023-01-02,05:30:00,Train,Route_11,Station_22,Station_47,05:31:00,06:10:00,13,9,Rain,34.5,48,33,11.5,Sports,2000,67,0,0,0,Winter,1,51,60,Completed
T00099,2023-01-02,05:45:00,Bus,Route_6,Station_33,Station_48,05:48:00,06:22:00,11,5,Fog,12.2,36,22,9.6,Sports,0,56,0,0,0,Autumn,0,57,32,Completed
T00100,2023-01-02,06:00:00,Tram,Route_7,Station_36,Station_42,06:03:00,06:29:00,-2,10,Storm,7.2,87,43,2.1,Parade,0,75,0,0,0,Spring,1,28,57,Completed
T00101,2023-01-02,06:15:00,Train,Route_14,Station_45,Station_12,06:18:00,07:08:00,13,8,Rain,9.6,95,41,16.8,Protest,0,23,0,0,0,Autumn,1,30,80,Completed
T00102,2023-01-02,06:30:00,Train,Route_11,Station_23,Station_13,06:33:00,07:15:00,15,28,Storm,10.9,68,24,14.9,Concert,2000,32,0,0,0,Spring,1,29,59,Completed
T00103,2023-01-02,06:45:00,Metro,Route_13,Station_45,Station_4,06:47:00,07:34:00,4,-1,Snow,27.9,47,0,1.2,Festival,0,2,0,1,0,Spring,0,49,98,Completed
T00104,2023-01-02,07:00:00,Train,Route_2,Station_45,Station_39,07:04:00,07:28:00,12,12,Rain,-1.8,30,50,4.2,Festival,0,3,0,1,0,Autumn,1,45,22,Completed
T00105,2023-01-02,07:15:00,Train,Route_7,Station_34,Station_2,07:18:00,08:05:00,14,16,Snow,7.7,92,54,11.1,Parade,500,29,0,0,0,Winter,1,33,94,Completed
T00106,2023-01-02,07:30:00,Train,Route_20,Station_9,Station_26,07:30:00,07:53:00,16,28,Storm,33.7,32,47,13.7,Sports,0,69,0,1,0,Winter,1,19,19,Completed
T00107,2023-01-02,07:45:00,Metro,Route_4,Station_24,Station_27,07:48:00,08:10:00,10,19,Storm,1.1,50,14,2.8,,10000,48,0,0,0,Summer,1,49,64,Completed
T00108,2023-01-02,08:00:00,Train,Route_8,Station_8,Station_27,08:04:00,08:33:00,6,13,Cloudy,24.7,59,31,4.9,Sports,0,29,0,0,0,Spring,1,5,18,Completed
T00109,2023-01-02,08:15:00,Tram,Route_20,Station_7,Station_15,08:18:00,08:38:00,12,12,Fog,9.3,40,13,3.9,,0,71,0,0,0,Summer,1,29,88,Completed
T00110,2023-01-02,08:30:00,Metro,Route_19,Station_36,Station_8,08:32:00,09:15:00,0,4,Clear,18.3,51,40,4.4,,0,81,0,0,0,Autumn,0,11,61,Completed
T00111,2023-01-02,08:45:00,Tram,Route_13,Station_18,Station_7,08:46:00,09:43:00,-2,15,Fog,-1.0,86,20,18.4,,0,15,0,0,0,Summer,1,13,11,Completed
T00112,2023-01-02,09:00:00,Metro,Route_14,Station_3,Station_47,09:01:00,09:36:00,13,26,Storm,7.3,32,54,14.3,Festival,50000,52,0,0,0,Autumn,1,28,34,Completed
T00113,2023-01-02,09:15:00,Train,Route_10,Station_28,Station_46,09:19:00,09:53:00,5,10,Storm,15.0,59,46,14.7,,0,5,0,0,0,Winter,1,5,22,Completed
T00114,2023-01-02,09:30:00,Tram,Route_11,Station_6,Station_40,09:31:00,09:55:00,10,18,Fog,4.3,74,57,15.9,Sports,2000,23,0,0,0,Autumn,1,48,107,Completed
T00115,2023-01-02,09:45:00,Metro,Route_2,Station_44,Station_12,09:46:00,10:33:00,5,13,Storm,16.7,65,6,7.1,,0,91,0,1,0,Autumn,1,12,60,Completed
T00116,2023-01-02,10:00:00,Bus,Route_9,Station_44,Station_13,10:00:00,10:30:00,14,11,Snow,3.8,93,35,15.3,,500,95,0,1,0,Summer,1,28,67,Completed
T00117,2023-01-02,10:15:00,Train,Route_17,Station_21,Station_43,10:19:00,10:50:00,19,28,Rain,21.0,83,20,19.6,,50000,88,1,0,0,Spring,1,15,43,Completed
T00118,2023-01-02,10:30:00,Metro,Route_3,Station_28,Station_17,10:34:00,11:19:00,11,9,Storm,31.2,97,49,14.0,Concert,0,27,0,1,0,Summer,1,55,44,Completed
T00119,2023-01-02,10:45:00,Bus,Route_6,Station_40,Station_17,10:46:00,11:29:00,18,17,Fog,-1.6,79,39,8.3,Festival,0,20,0,0,0,Winter,1,21,12,Completed
T00120,2023-01-02,11:00:00,Metro,Route_5,Station_1,Station_36,11:01:00,11:59:00,18,29,Fog,3.7,60,11,14.3,,50000,7,0,1,0,Winter,1,12,68,Completed
T00121,2023-01-02,11:15:00,Bus,Route_5,Station_36,Station_21,11:16:00,11:45:00,4,23,Fog,28.8,58,14,18.0,,2000,35,0,0,0,Winter,1,39,79,Completed
T00122,2023-01-02,11:30:00,Train,Route_15,Station_21,Station_8,11:32:00,11:56:00,12,12,Cloudy,20.3,88,14,2.6,Concert,0,8,0,0,0,Spring,1,39,57,Completed
T00123,2023-01-02,11:45:00,Tram,Route_17,Station_43,Station_5,11:48:00,12:30:00,13,24,Snow,-1.9,65,16,5.3,,0,39,0,0,0,Summer,1,37,73,Completed
T00124,2023-01-02,12:00:00,Bus,Route_9,Station_35,Station_26,12:02:00,12:41:00,16,-3,Snow,14.5,96,33,18.4,,0,84,0,0,0,Autumn,0,9,28,Completed
T00125,2023-01-02,12:15:00,Metro,Route_3,Station_13,Station_16,12:19:00,12:59:00,3,27,Cloudy,3.4,40,43,18.9,,10000,50,0,0,0,Autumn,1,46,76,Completed
T00126,2023-01-02,12:30:00,Train,Route_20,Station_49,Station_36,12:30:00,13:08:00,-2,29,Snow,3.0,40,34,9.7,Concert,500,0,1,0,0,Spring,1,43,91,Completed
T00127,2023-01-02,12:45:00,Bus,Route_17,Station_10,Station_28,12:48:00,13:35:00,9,29,Cloudy,32.6,55,38,7.5,,50000,62,0,0,0,Winter,1,45,82,Completed
T00128,2023-01-02,13:00:00,Metro,Route_10,Station_44,Station_29,13:00:00,13:45:00,15,14,Snow,25.5,82,37,5.7,,0,67,0,0,0,Spring,1,32,85,Completed
T00129,2023-01-02,13:15:00,Metro,Route_3,Station_47,Station_47,13:19:00,14:10:00,13,19,Cloudy,22.8,43,13,10.0,Parade,0,73,0,1,0,Autumn,1,11,14,Completed
T00130,2023-01-02,13:30:00,Metro,Route_18,Station_10,Station_12,13:34:00,14:12:00,9,19,Cloudy,4.6,93,54,18.7,Sports,0,25,0,0,0,Winter,1,13,76,Completed
T00131,2023-01-02,13:45:00,Bus,Route_18,Station_46,Station_37,13:45:00,14:17:00,17,11,Snow,-0.3,39,58,3.0,,0,39,0,1,0,Spring,1,12,20,Completed
T00132,2023-01-02,14:00:00,Bus,Route_17,Station_13,Station_30,14:00:00,14:44:00,10,22,Cloudy,29.8,60,4,8.4,,0,2,0,0,0,Autumn,1,16,103,Completed
T00133,2023-01-02,14:15:00,Bus,Route_3,Station_37,Station_23,14:15:00,14:36:00,5,26,Snow,-4.8,65,29,18.2,,0,8,0,0,0,Autumn,1,38,77,Completed
T00134,2023-01-02,14:30:00,Tram,Route_3,Station_38,Station_16,14:34:00,14:51:00,19,21,Cloudy,10.5,39,3,7.0,,10000,31,0,0,0,Spring,1,37,78,Completed
T00135,2023-01-02,14:45:00,Bus,Route_6,Station_24,Station_14,14:46:00,15:20:00,-2,12,Fog,6.1,55,14,15.4,,0,66,0,1,0,Autumn,1,52,10,Completed
T00136,2023-01-02,15:00:00,Bus,Route_13,Station_2,Station_10,15:00:00,15:28:00,18,10,Clear,17.8,49,38,7.8,,0,3,0,0,0,Summer,1,59,100,Completed
T00137,2023-01-02,15:15:00,Bus,Route_15,Station_22,Station_7,15:18:00,16:02:00,4,13,Snow,5.0,73,34,16.1,,50000,5,0,0,0,Summer,1,27,101,Completed
T00138,2023-01-02,15:30:00,Tram,Route_9,Station_17,Station_45,15:34:00,16:02:00,12,8,Cloudy,7.4,91,44,19.6,Festival,50000,72,0,0,0,Winter,1,28,72,Completed
T00139,2023-01-02,15:45:00,Bus,Route_4,Station_36,Station_37,15:47:00,16:39:00,19,25,Fog,29.0,38,9,7.8,Festival,0,25,0,0,0,Summer,1,41,38,Completed
T00140,2023-01-02,16:00:00,Metro,Route_14,Station_14,Station_29,16:02:00,16:32:00,10,28,Clear,19.1,53,54,16.9,,50000,1,0,0,0,Summer,1,39,91,Completed
T00141,2023-01-02,16:15:00,Bus,Route_5,Station_10,Station_3,16:18:00,17:05:00,10,20,Cloudy,0.8,41,1,19.8,Concert,0,65,0,0,0,Spring,1,48,21,Completed
T00142,2023-01-02,16:30:00,Metro,Route_2,Station_35,Station_15,16:31:00,17:10:00,6,9,Clear,24.1,89,43,19.7,,0,84,0,1,0,Winter,1,44,86,Completed
