trip_id,date,time,transport_type,route_id,origin_station,destination_station,scheduled_departure,scheduled_arrival,actual_departure_delay_min,actual_arrival_delay_min,passenger_count,capacity_percentage,trip_status,delayed,peak_hour,weekday,datetime,hour,day_name,on_time,delayed_5min,trip_duration_min
T00035,2023-01-01,13:45:00,Bus,Route_7,Station_48,Station_13,13:48:00,14:20:00,13,18,32,69,Completed,1,0,6,2023-01-01 13:45:00,13,Sunday,0,1,32.0
T00036,2023-01-01,14:00:00,Metro,Route_17,Station_12,Station_42,14:04:00,14:34:00,2,28,20,50,Completed,1,1,6,2023-01-01 14:00:00,14,Sunday,0,1,30.0
T00037,2023-01-01,14:15:00,Bus,Route_14,Station_37,Station_3,14:15:00,15:02:00,18,12,19,42,Completed,1,0,6,2023-01-01 14:15:00,14,Sunday,0,1,47.0
T00038,2023-01-01,14:30:00,Bus,Route_3,Station_17,Station_9,14:34:00,15:20:00,19,11,51,92,Completed,1,0,6,2023-01-01 14:30:00,14,Sunday,0,1,46.0
T00039,2023-01-01,14:45:00,Tram,Route_12,Station_23,Station_12,14:46:00,15:27:00,7,8,55,92,Completed,1,1,6,2023-01-01 14:45:00,14,Sunday,0,1,41.0
T00040,2023-01-01,15:00:00,Tram,Route_13,Station_26,Station_23,15:03:00,15:36:00,10,-3,48,106,Completed,0,0,6,2023-01-01 15:00:00,15,Sunday,1,0,33.0
T00041,2023-01-01,15:15:00,Tram,Route_2,Station_29,Station_14,15:16:00,16:08:00,11,13,59,25,Completed,1,0,6,2023-01-01 15:15:00,15,Sunday,0,1,52.0
T00042,2023-01-01,15:30:00,Train,Route_3,Station_33,Station_33,15:33:00,16:02:00,4,24,56,32,Completed,1,1,6,2023-01-01 15:30:00,15,Sunday,0,1,29.0
T00043,2023-01-01,15:45:00,Metro,Route_5,Station_27,Station_18,15:48:00,16:18:00,17,3,7,16,Completed,0,1,6,2023-01-01 15:45:00,15,Sunday,0,0,30.0
T00044,2023-01-01,16:00:00,Metro,Route_11,Station_25,Station_49,16:04:00,16:30:00,3,5,41,35,Completed,0,1,6,2023-01-01 16:00:00,16,Sunday,0,0,26.0
T00045,2023-01-01,16:15:00,Metro,Route_8,Station_10,Station_41,16:16:00,17:02:00,4,18,55,105,Completed,1,0,6,2023-01-01 16:15:00,16,Sunday,0,1,46.0
T00046,2023-01-01,16:30:00,Metro,Route_12,Station_47,Station_9,16:31:00,17:21:00,2,22,11,21,Completed,1,0,6,2023-01-01 16:30:00,16,Sunday,0,1,50.0
T00047,2023-01-01,16:45:00,Tram,Route_7,Station_23,Station_23,16:45:00,17:39:00,18,8,25,81,Completed,1,1,6,2023-01-01 16:45:00,16,Sunday,0,1,54.0
T00048,2023-01-01,17:00:00,Train,Route_15,Station_21,Station_10,17:01:00,17:50:00,15,3,13,14,Completed,0,0,6,2023-01-01 17:00:00,17,Sunday,0,0,49.0
T00049,2023-01-01,17:15:00,Train,Route_17,Station_21,Station_19,17:15:00,17:51:00,9,11,43,101,Completed,1,1,6,2023-01-01 17:15:00,17,Sunday,0,1,36.0
T00050,2023-01-01,17:30:00,Tram,Route_4,Station_43,Station_47,17:32:00,17:58:00,3,17,22,78,Completed,1,0,6,2023-01-01 17:30:00,17,Sunday,0,1,26.0
T00051,2023-01-01,17:45:00,Train,Route_13,Station_13,Station_5,17:47:00,18:14:00,-2,10,8,58,Completed,1,0,6,2023-01-01 17:45:00,17,Sunday,0,1,27.0
T00052,2023-01-01,18:00:00,Tram,Route_18,Station_37,Station_47,18:02:00,18:27:00,1,-2,29,35,Completed,0,0,6,2023-01-01 18:00:00,18,Sunday,1,0,25.0
T00053,2023-01-01,18:15:00,Metro,Route_1,Station_33,Station_23,18:16:00,18:55:00,16,4,18,14,Completed,0,1,6,2023-01-01 18:15:00,18,Sunday,0,0,39.0
T00054,2023-01-01,18:30:00,Tram,Route_16,Station_24,Station_30,18:31:00,19:02:00,9,2,54,31,Completed,0,0,6,2023-01-01 18:30:00,18,Sunday,0,0,31.0
T00055,2023-01-01,18:45:00,Metro,Route_13,Station_44,Station_25,18:45:00,19:09:00,12,29,13,88,Completed,1,1,6,2023-01-01 18:45:00,18,Sunday,0,1,24.0
T00056,2023-01-01,19:00:00,Metro,Route_10,Station_11,Station_28,19:03:00,19:25:00,0,2,30,22,Completed,0,1,6,2023-01-01 19:00:00,19,Sunday,0,0,22.0
T00057,2023-01-01,19:15:00,Bus,Route_12,Station_17,Station_34,19:15:00,20:04:00,17,22,57,37,Completed,1,1,6,2023-01-01 19:15:00,19,Sunday,0,1,49.0
T00058,2023-01-01,19:30:00,Tram,Route_2,Station_4,Station_45,19:32:00,20:20:00,5,10,6,42,Completed,1,1,6,2023-01-01 19:30:00,19,Sunday,0,1,48.0
T00059,2023-01-01,19:45:00,Bus,Route_3,Station_47,Station_48,19:45:00,20:21:00,8,4,24,32,Completed,0,1,6,2023-01-01 19:45:00,19,Sunday,0,0,36.0
T00060,2023-01-01,20:00:00,Tram,Route_10,Station_25,Station_47,20:03:00,20:30:00,13,9,32,106,Completed,1,1,6,2023-01-01 20:00:00,20,Sunday,0,1,27.0
T00061,2023-01-01,20:15:00,Tram,Route_2,Station_30,Station_25,20:16:00,20:54:00,6,9,51,27,Completed,1,0,6,2023-01-01 20:15:00,20,Sunday,0,1,38.0
T00062,2023-01-01,20:30:00,Bus,Route_13,Station_9,Station_10,20:30:00,20:58:00,0,24,11,39,Completed,1,0,6,2023-01-01 20:30:00,20,Sunday,0,1,28.0
T00063,2023-01-01,20:45:00,Bus,Route_13,Station_21,Station_14,20:47:00,21:06:00,2,14,48,35,Completed,1,0,6,2023-01-01 20:45:00,20,Sunday,0,1,19.0
T00064,2023-01-01,21:00:00,Tram,Route_18,Station_20,Station_42,21:02:00,21:56:00,17,15,12,25,Completed,1,0,6,2023-01-01 21:00:00,21,Sunday,0,1,54.0
T00065,2023-01-01,21:15:00,Train,Route_3,Station_19,Station_46,21:16:00,21:35:00,11,28,51,86,Completed,1,0,6,2023-01-01 21:15:00,21,Sunday,0,1,19.0
T00066,2023-01-01,21:30:00,Metro,Route_7,Station_19,Station_30,21:30:00,21:53:00,12,18,39,48,Completed,1,0,6,2023-01-01 21:30:00,21,Sunday,0,1,23.0
T00067,2023-01-01,21:45:00,Bus,Route_14,Station_12,Station_41,21:48:00,22:40:00,3,-2,18,42,Completed,0,1,6,2023-01-01 21:45:00,21,Sunday,1,0,52.0
T00068,2023-01-01,22:00:00,Metro,Route_20,Station_37,Station_25,22:01:00,22:44:00,1,9,21,35,Completed,1,0,6,2023-01-01 22:00:00,22,Sunday,0,1,43.0
T00069,2023-01-01,22:15:00,Train,Route_17,Station_42,Station_14,22:15:00,22:37:00,5,19,40,57,Completed,1,0,6,2023-01-01 22:15:00,22,Sunday,0,1,22.0
T00070,2023-01-01,22:30:00,Train,Route_12,Station_17,Station_35,22:34:00,22:58:00,16,21,54,74,Completed,1,1,6,2023-01-01 22:30:00,22,Sunday,0,1,24.0
T00071,2023-01-01,22:45:00,Train,Route_16,Station_37,Station_48,22:47:00,23:26:00,2,24,44,47,Completed,1,0,6,2023-01-01 22:45:00,22,Sunday,0,1,39.0
T00072,2023-01-01,23:00:00,Bus,Route_12,Station_48,Station_34,23:03:00,23:42:00,10,7,8,11,Completed,1,0,6,2023-01-01 23:00:00,23,Sunday,0,1,39.0
T00073,2023-01-01,23:15:00,Train,Route_15,Station_39,Station_10,23:18:00,23:46:00,13,29,6,15,Completed,1,1,6,2023-01-01 23:15:00,23,Sunday,0,1,28.0
T00074,2023-01-01,23:30:00,Bus,Route_10,Station_28,Station_35,23:33:00,23:59:00,-2,20,10,55,Completed,1,0,6,2023-01-01 23:30:00,23,Sunday,0,1,26.0
T00075,2023-01-01,23:45:00,Train,Route_7,Station_41,Station_11,23:47:00,00:38:00,10,-2,58,59,Completed,0,0,6,2023-01-01 23:45:00,23,Sunday,1,0,51.0
T00076,2023-01-02,00:00:00,Metro,Route_20,Station_35,Station_11,00:00:00,00:29:00,19,26,46,47,Completed,1,0,0,2023-01-02 00:00:00,0,Monday,0,1,29.0
T00077,2023-01-02,00:15:00,Metro,Route_5,Station_47,Station_21,00:16:00,01:04:00,8,13,8,97,Completed,1,0,0,2023-01-02 00:15:00,0,Monday,0,1,48.0
T00078,2023-01-02,00:30:00,Tram,Route_1,Station_48,Station_21,00:30:00,01:11:00,18,18,58,27,Completed,1,1,0,2023-01-02 00:30:00,0,Monday,0,1,41.0
T00079,2023-01-02,00:45:00,Metro,Route_17,Station_18,Station_22,00:46:00,01:10:00,5,1,33,36,Completed,0,0,0,2023-01-02 00:45:00,0,Monday,0,0,24.0
T00080,2023-01-02,01:00:00,Tram,Route_3,Station_14,Station_45,01:03:00,01:21:00,5,12,22,50,Completed,1,1,0,2023-01-02 01:00:00,1,Monday,0,1,18.0
T00081,2023-01-02,01:15:00,Metro,Route_13,Station_35,Station_7,01:15:00,02:04:00,11,9,30,81,Completed,1,0,0,2023-01-02 01:15:00,1,Monday,0,1,49.0
T00082,2023-01-02,01:30:00,Bus,Route_14,Station_44,Station_17,01:33:00,01:51:00,10,22,48,101,Completed,1,0,0,2023-01-02 01:30:00,1,Monday,0,1,18.0
T00083,2023-01-02,01:45:00,Metro,Route_18,Station_41,Station_2,01:49:00,02:36:00,0,27,38,83,Completed,1,1,0,2023-01-02 01:45:00,1,Monday,0,1,47.0
T00084,2023-01-02,02:00:00,Tram,Route_4,Station_7,Station_12,02:03:00,02:35:00,1,19,14,26,Completed,1,1,0,2023-01-02 02:00:00,2,Monday,0,1,32.0
T00085,2023-01-02,02:15:00,Tram,Route_18,Station_41,Station_42,02:18:00,02:46:00,17,8,40,71,Completed,1,0,0,2023-01-02 02:15:00,2,Monday,0,1,28.0
T00086,2023-01-02,02:30:00,Train,Route_5,Station_13,Station_18,02:31:00,02:50:00,12,10,18,38,Completed,1,0,0,2023-01-02 02:30:00,2,Monday,0,1,19.0
T00087,2023-01-02,02:45:00,Bus,Route_16,Station_18,Station_11,02:49:00,03:12:00,12,14,35,67,Completed,1,1,0,2023-01-02 02:45:00,2,Monday,0,1,23.0
T00088,2023-01-02,03:00:00,Metro,Route_1,Station_37,Station_16,03:03:00,03:32:00,18,23,52,79,Completed,1,0,0,2023-01-02 03:00:00,3,Monday,0,1,29.0
T00089,2023-01-02,03:15:00,Train,Route_14,Station_13,Station_49,03:18:00,03:49:00,10,24,19,87,Completed,1,0,0,2023-01-02 03:15:00,3,Monday,0,1,31.0
T00090,2023-01-02,03:30:00,Metro,Route_15,Station_36,Station_18,03:34:00,03:57:00,6,14,12,31,Completed,1,1,0,2023-01-02 03:30:00,3,Monday,0,1,23.0
T00091,2023-01-02,03:45:00,Metro,Route_9,Station_31,Station_35,03:49:00,04:14:00,7,12,18,15,Completed,1,0,0,2023-01-02 03:45:00,3,Monday,0,1,25.0
T00092,2023-01-02,04:00:00,Train,Route_15,Station_2,Station_26,04:00:00,04:24:00,9,12,27,35,Completed,1,0,0,2023-01-02 04:00:00,4,Monday,0,1,24.0
T00093,2023-01-02,04:15:00,Train,Route_17,Station_16,Station_16,04:16:00,04:53:00,11,9,44,48,Completed,1,0,0,2023-01-02 04:15:00,4,Monday,0,1,37.0
T00094,2023-01-02,04:30:00,Train,Route_4,Station_9,Station_6,04:34:00,05:27:00,-2,25,25,21,Completed,1,1,0,2023-01-02 04:30:00,4,Monday,0,1,53.0
T00095,2023-01-02,04:45:00,Train,Route_12,Station_9,Station_44,04:49:00,05:15:00,11,5,20,108,Completed,0,0,0,2023-01-02 04:45:00,4,Monday,0,0,26.0
T00096,2023-01-02,05:00:00,Train,Route_5,Station_38,Station_43,05:02:00,05:39:00,11,22,49,23,Completed,1,1,0,2023-01-02 05:00:00,5,Monday,0,1,37.0
T00097,2023-01-02,05:15:00,Metro,Route_5,Station_11,Station_47,05:19:00,05:54:00,5,24,22,31,Completed,1,0,0,2023-01-02 05:15:00,5,Monday,0,1,35.0
T00098,2023-01-02,05:30:00,Train,Route_11,Station_22,Station_47,05:31:00,06:10:00,13,9,51,60,Completed,1,0,0,2023-01-02 05:30:00,5,Monday,0,1,39.0
T00099,2023-01-02,05:45:00,Bus,Route_6,Station_33,Station_48,05:48:00,06:22:00,11,5,57,32,Completed,0,0,0,2023-01-02 05:45:00,5,Monday,0,0,34.0
T00100,2023-01-02,06:00:00,Tram,Route_7,Station_36,Station_42,06:03:00,06:29:00,-2,10,28,57,Completed,1,0,0,2023-01-02 06:00:00,6,Monday,0,1,26.0
T00101,2023-01-02,06:15:00,Train,Route_14,Station_45,Station_12,06:18:00,07:08:00,13,8,30,80,Completed,1,0,0,2023-01-02 06:15:00,6,Monday,0,1,50.0
T00102,2023-01-02,06:30:00,Train,Route_11,Station_23,Station_13,06:33:00,07:15:00,15,28,29,59,Completed,1,0,0,2023-01-02 06:30:00,6,Monday,0,1,42.0
T00103,2023-01-02,06:45:00,Metro,Route_13,Station_45,Station_4,06:47:00,07:34:00,4,-1,49,98,Completed,0,1,0,2023-01-02 06:45:00,6,Monday,1,0,47.0
T00104,2023-01-02,07:00:00,Train,Route_2,Station_45,Station_39,07:04:00,07:28:00,12,12,45,22,Completed,1,1,0,2023-01-02 07:00:00,7,Monday,0,1,24.0
T00105,2023-01-02,07:15:00,Train,Route_7,Station_34,Station_2,07:18:00,08:05:00,14,16,33,94,Completed,1,0,0,2023-01-02 07:15:00,7,Monday,0,1,47.0
T00106,2023-01-02,07:30:00,Train,Route_20,Station_9,Station_26,07:30:00,07:53:00,16,28,19,19,Completed,1,1,0,2023-01-02 07:30:00,7,Monday,0,1,23.0
T00107,2023-01-02,07:45:00,Metro,Route_4,Station_24,Station_27,07:48:00,08:10:00,10,19,49,64,Completed,1,0,0,2023-01-02 07:45:00,7,Monday,0,1,22.0
T00108,2023-01-02,08:00:00,Train,Route_8,Station_8,Station_27,08:04:00,08:33:00,6,13,5,18,Completed,1,0,0,2023-01-02 08:00:00,8,Monday,0,1,29.0
T00109,2023-01-02,08:15:00,Tram,Route_20,Station_7,Station_15,08:18:00,08:38:00,12,12,29,88,Completed,1,0,0,2023-01-02 08:15:00,8,Monday,0,1,20.0
T00110,2023-01-02,08:30:00,Metro,Route_19,Station_36,Station_8,08:32:00,09:15:00,0,4,11,61,Completed,0,0,0,2023-01-02 08:30:00,8,Monday,0,0,43.0
T00111,2023-01-02,08:45:00,Tram,Route_13,Station_18,Station_7,08:46:00,09:43:00,-2,15,13,11,Completed,1,0,0,2023-01-02 08:45:00,8,Monday,0,1,57.0
T00112,2023-01-02,09:00:00,Metro,Route_14,Station_3,Station_47,09:01:00,09:36:00,13,26,28,34,Completed,1,0,0,2023-01-02 09:00:00,9,Monday,0,1,35.0
T00113,2023-01-02,09:15:00,Train,Route_10,Station_28,Station_46,09:19:00,09:53:00,5,10,5,22,Completed,1,0,0,2023-01-02 09:15:00,9,Monday,0,1,34.0
T00114,2023-01-02,09:30:00,Tram,Route_11,Station_6,Station_40,09:31:00,09:55:00,10,18,48,107,Completed,1,0,0,2023-01-02 09:30:00,9,Monday,0,1,24.0
T00115,2023-01-02,09:45:00,Metro,Route_2,Station_44,Station_12,09:46:00,10:33:00,5,13,12,60,Completed,1,1,0,2023-01-02 09:45:00,9,Monday,0,1,47.0
T00116,2023-01-02,10:00:00,Bus,Route_9,Station_44,Station_13,10:00:00,10:30:00,14,11,28,67,Completed,1,1,0,2023-01-02 10:00:00,10,Monday,0,1,30.0
T00117,2023-01-02,10:15:00,Train,Route_17,Station_21,Station_43,10:19:00,10:50:00,19,28,15,43,Completed,1,0,0,2023-01-02 10:15:00,10,Monday,0,1,31.0
T00118,2023-01-02,10:30:00,Metro,Route_3,Station_28,Station_17,10:34:00,11:19:00,11,9,55,44,Completed,1,1,0,2023-01-02 10:30:00,10,Monday,0,1,45.0
T00119,2023-01-02,10:45:00,Bus,Route_6,Station_40,Station_17,10:46:00,11:29:00,18,17,21,12,Completed,1,0,0,2023-01-02 10:45:00,10,Monday,0,1,43.0
T00120,2023-01-02,11:00:00,Metro,Route_5,Station_1,Station_36,11:01:00,11:59:00,18,29,12,68,Completed,1,1,0,2023-01-02 11:00:00,11,Monday,0,1,58.0
T00121,2023-01-02,11:15:00,Bus,Route_5,Station_36,Station_21,11:16:00,11:45:00,4,23,39,79,Completed,1,0,0,2023-01-02 11:15:00,11,Monday,0,1,29.0
T00122,2023-01-02,11:30:00,Train,Route_15,Station_21,Station_8,11:32:00,11:56:00,12,12,39,57,Completed,1,0,0,2023-01-02 11:30:00,11,Monday,0,1,24.0
T00123,2023-01-02,11:45:00,Tram,Route_17,Station_43,Station_5,11:48:00,12:30:00,13,24,37,73,Completed,1,0,0,2023-01-02 11:45:00,11,Monday,0,1,42.0
T00124,2023-01-02,12:00:00,Bus,Route_9,Station_35,Station_26,12:02:00,12:41:00,16,-3,9,28,Completed,0,0,0,2023-01-02 12:00:00,12,Monday,1,0,39.0
T00125,2023-01-02,12:15:00,Metro,Route_3,Station_13,Station_16,12:19:00,12:59:00,3,27,46,76,Completed,1,0,0,2023-01-02 12:15:00,12,Monday,0,1,40.0
T00126,2023-01-02,12:30:00,Train,Route_20,Station_49,Station_36,12:30:00,13:08:00,-2,29,43,91,Completed,1,0,0,2023-01-02 12:30:00,12,Monday,0,1,38.0
T00127,2023-01-02,12:45:00,Bus,Route_17,Station_10,Station_28,12:48:00,13:35:00,9,29,45,82,Completed,1,0,0,2023-01-02 12:45:00,12,Monday,0,1,47.0
T00128,2023-01-02,13:00:00,Metro,Route_10,Station_44,Station_29,13:00:00,13:45:00,15,14,32,85,Completed,1,0,0,2023-01-02 13:00:00,13,Monday,0,1,45.0
T00129,2023-01-02,13:15:00,Metro,Route_3,Station_47,Station_47,13:19:00,14:10:00,13,19,11,14,Completed,1,1,0,2023-01-02 13:15:00,13,Monday,0,1,51.0
T00130,2023-01-02,13:30:00,Metro,Route_18,Station_10,Station_12,13:34:00,14:12:00,9,19,13,76,Completed,1,0,0,2023-01-02 13:30:00,13,Monday,0,1,38.0
T00131,2023-01-02,13:45:00,Bus,Route_18,Station_46,Station_37,13:45:00,14:17:00,17,11,12,20,Completed,1,1,0,2023-01-02 13:45:00,13,Monday,0,1,32.0
T00132,2023-01-02,14:00:00,Bus,Route_17,Station_13,Station_30,14:00:00,14:44:00,10,22,16,103,Completed,1,0,0,2023-01-02 14:00:00,14,Monday,0,1,44.0
T00133,2023-01-02,14:15:00,Bus,Route_3,Station_37,Station_23,14:15:00,14:36:00,5,26,38,77,Completed,1,0,0,2023-01-02 14:15:00,14,Monday,0,1,21.0
T00134,2023-01-02,14:30:00,Tram,Route_3,Station_38,Station_16,14:34:00,14:51:00,19,21,37,78,Completed,1,0,0,2023-01-02 14:30:00,14,Monday,0,1,17.0
T00135,2023-01-02,14:45:00,Bus,Route_6,Station_24,Station_14,14:46:00,15:20:00,-2,12,52,10,Completed,1,1,0,2023-01-02 14:45:00,14,Monday,0,1,34.0
T00136,2023-01-02,15:00:00,Bus,Route_13,Station_2,Station_10,15:00:00,15:28:00,18,10,59,100,Completed,1,0,0,2023-01-02 15:00:00,15,Monday,0,1,28.0
T00137,2023-01-02,15:15:00,Bus,Route_15,Station_22,Station_7,15:18:00,16:02:00,4,13,27,101,Completed,1,0,0,2023-01-02 15:15:00,15,Monday,0,1,44.0
T00138,2023-01-02,15:30:00,Tram,Route_9,Station_17,Station_45,15:34:00,16:02:00,12,8,28,72,Completed,1,0,0,2023-01-02 15:30:00,15,Monday,0,1,28.0
T00139,2023-01-02,15:45:00,Bus,Route_4,Station_36,Station_37,15:47:00,16:39:00,19,25,41,38,Completed,1,0,0,2023-01-02 15:45:00,15,Monday,0,1,52.0
T00140,2023-01-02,16:00:00,Metro,Route_14,Station_14,Station_29,16:02:00,16:32:00,10,28,39,91,Completed,1,0,0,2023-01-02 16:00:00,16,Monday,0,1,30.0
T00141,2023-01-02,16:15:00,Bus,Route_5,Station_10,Station_3,16:18:00,17:05:00,10,20,48,21,Completed,1,0,0,2023-01-02 16:15:00,16,Monday,0,1,47.0
T00142,2023-01-02,16:30:00,Metro,Route_2,Station_35,Station_15,16:31:00,17:10:00,6,9,44,86,Completed,1,1,0,2023-01-02 16:30:00,16,Monday,0,1,39.0
T00143,2023-01-02,16:45:00,Metro,Route_11,Station_25,Station_36,16:45:00,17:36:00,12,16,26,50,Completed,1,1,0,2023-01-02 16:45:00,16,Monday,0,1,51.0
T00144,2023-01-02,17:00:00,Metro,Route_9,Station_3,Station_47,17:04:00,17:53:00,1,11,31,11,Completed,1,1,0,2023-01-02 17:00:00,17,Monday,0,1,49.0
T00145,2023-01-02,17:15:00,Tram,Route_3,Station_47,Station_46,17:15:00,17:42:00,10,0,39,46,Completed,0,0,0,2023-01-02 17:15:00,17,Monday,1,0,27.0
T00146,2023-01-02,17:30:00,Tram,Route_9,Station_38,Station_19,17:34:00,17:51:00,9,24,5,54,Completed,1,0,0,2023-01-02 17:30:00,17,Monday,0,1,17.0
